creator,video_order,publish_date,title,content_type,views,days_since_upload,views_per_day,creator_median_vpd,ratio,state,action_group,is_high,next_state,next_is_high
Dcard Video,1,2026-02-20,到處都看得到劉冠廷｜健身最帥瞬間｜婚禮到底是誰的？ ft.劉冠廷【EP257】Dcard尋奇｜Dcard.Video,雜談,242797,120,2023.3083333333334,4751.202462923729,0.42585184469033505,Low,Talk/Topic,0,Low,0.0
Dcard Video,2,2026-02-25,苦命剪輯師，月領18K奴薩奇！ft.Leo【EP4】Dcard Podcast｜Dcard.Video,雜談,145373,115,1264.1130434782608,4751.202462923729,0.26606170823972175,Low,Talk/Topic,0,Low,0.0
Dcard Video,3,2026-02-27,被錢逼著長大！背學貸有多辛苦：沒畢業先欠70萬、月打工100小時、晚餐不敢吃破百【背學貸大調查】Dcard調查局｜Dcard.Video,雜談,365132,113,3231.2566371681414,4751.202462923729,0.6800923897441608,Low,Talk/Topic,0,Normal,0.0
Dcard Video,4,2026-03-04,倒數十名的車站！每天只有20人？！但這裡打過戰爭、還遇到阿嬤級舞蹈天團！？【電車吃漢 EP25】平和｜Dcard.Video,旅遊,688976,108,6379.407407407408,4751.202462923729,1.342693235489219,Normal,Travel/Experience,0,Low,0.0
Dcard Video,5,2026-03-06,夢幻職業又大洗牌？最不想當創作者、最想成為警察？！警察本警來吐真心話！【夢幻職業大調查】Dcard調查局｜Dcard.Video,雜談,250584,106,2364.0,4751.202462923729,0.49755825361002914,Low,Talk/Topic,0,Normal,0.0
Dcard Video,6,2026-03-11,會抓頭髮的男生加分嗎｜見網友不喜歡｜什麼時刻感受到另一半的愛【EP258】Dcard尋奇｜Dcard.Video,雜談,344636,101,3412.237623762376,4751.202462923729,0.7181840071834363,Normal,Talk/Topic,0,Low,0.0
Dcard Video,7,2026-03-13,一天滑 12h 短影音會怎樣?【長影音vs 短影音】Dcard調查局｜Dcard.Video,雜談,245171,99,2476.4747474747473,4751.202462923729,0.5212311550181359,Low,Talk/Topic,0,Low,0.0
Dcard Video,8,2026-03-18,「唱片公司不要一位入圍金曲獎的歌手」ft.羅莎莎【EP5】Dcard Podcast｜Dcard.Video,雜談,24936,94,265.27659574468083,4751.202462923729,0.05583357009405122,Low,Talk/Topic,0,Low,0.0
Dcard Video,9,2026-03-20,殘酷實測！天菜聯誼對象但個性超不合？你能撐的下去嗎？【不限時動態】地雷天菜女友｜Dcard.Video,雜談,249687,92,2713.9891304347825,4751.202462923729,0.571221527942357,Low,Talk/Topic,0,Low,0.0
Dcard Video,10,2026-03-25,先生失業三年沒愛了｜加班很性感｜靠家裡是一種否定嗎？【EP259】Dcard尋奇｜Dcard.Video,雜談,254805,87,2928.793103448276,4751.202462923729,0.6164319719698906,Low,Talk/Topic,0,Normal,0.0
Dcard Video,11,2026-03-27,出生就是特權？生在台北、有自己的房間、從小補習...贏在起跑點錯了嗎？【特權指數大調查】Dcard調查局｜Dcard.Video,雜談,334415,85,3934.294117647059,4751.202462923729,0.8280628216432662,Normal,Talk/Topic,0,Low,0.0
Dcard Video,12,2026-04-01,「收入破億的Podcaster... 」ft.馬克瑪麗【EP6】Dcard Podcast｜Dcard.Video,雜談,50201,80,627.5125,4751.202462923729,0.13207446007549214,Low,Talk/Topic,0,Low,0.0
Dcard Video,13,2026-04-03,瘋狂亞洲父母！孩子才藝班超過10種，長大後會怎樣？【學才藝是好投資嗎】Dcard調查局｜Dcard.Video,雜談,168570,78,2161.153846153846,4751.202462923729,0.4548646080689109,Low,Talk/Topic,0,Normal,0.0
Dcard Video,14,2026-04-08,男生有好感多久會追那個女生｜店員可不可以不要再記得我了｜調適自己的小孩成績差【EP260】Dcard尋奇｜Dcard.Video,雜談,416807,73,5709.684931506849,4751.202462923729,1.2017347136988354,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,15,2026-04-10,老闆要你幫他剪指甲，你接受嗎？【荒謬求職經驗】Dcard調查局｜Dcard.Video,雜談,300605,71,4233.87323943662,4751.202462923729,0.8911161484857535,Normal,Talk/Topic,0,Low,0.0
Dcard Video,16,2026-04-15,在網路上罵人，真的會被告嗎？ ft.Dcard 法務 芷萱【EP7】Dcard Podcast｜Dcard.Video,雜談,54996,66,833.2727272727273,4751.202462923729,0.17538143949352125,Low,Talk/Topic,0,Normal,0.0
Dcard Video,17,2026-04-17,首次進新加坡祖厝，全家人都哭了【新，不了情】特別企劃｜Dcard.Video,旅遊,309147,64,4830.421875,4751.202462923729,1.0166735500527422,Normal,Travel/Experience,0,Low,0.0
Dcard Video,18,2026-04-20,我們 Team Building 都在做什麼？真心話變大型淚崩現場！【不限時動態】2026新年大會｜Dcard.Video,雜談,150573,61,2468.409836065574,4751.202462923729,0.5195337086406959,Low,Talk/Topic,0,Normal,0.0
Dcard Video,19,2026-04-22,熬出頭的感覺｜台男不買衣服｜女生間的毒雞湯 ‪@we_are_831‬ 【EP261】Dcard尋奇｜Dcard.Video,雜談,275647,59,4671.983050847458,4751.202462923729,0.9833264499472577,Normal,Talk/Topic,0,Normal,0.0
Dcard Video,20,2026-04-24,禁斷秘密！！把賓士車撞壞、考試偷作弊、偷打XX屁股！？要帶進棺材的一集【不敢跟爸媽說的話】Dcard調查局｜Dcard.Video,雜談,213619,57,3747.7017543859647,4751.202462923729,0.7887901607290706,Normal,Talk/Topic,0,Low,0.0
