creator,video_order,publish_date,title,content_type,views
Dcard Video,1,2026-02-20,到處都看得到劉冠廷｜健身最帥瞬間｜婚禮到底是誰的？ ft.劉冠廷【EP257】Dcard尋奇｜Dcard.Video,雜談,242797
Dcard Video,2,2026-02-25,苦命剪輯師，月領18K奴薩奇！ft.Leo【EP4】Dcard Podcast｜Dcard.Video,雜談,145373
Dcard Video,3,2026-02-27,被錢逼著長大！背學貸有多辛苦：沒畢業先欠70萬、月打工100小時、晚餐不敢吃破百【背學貸大調查】Dcard調查局｜Dcard.Video,雜談,365132
Dcard Video,4,2026-03-04,倒數十名的車站！每天只有20人？！但這裡打過戰爭、還遇到阿嬤級舞蹈天團！？【電車吃漢 EP25】平和｜Dcard.Video,旅遊,688976
Dcard Video,5,2026-03-06,夢幻職業又大洗牌？最不想當創作者、最想成為警察？！警察本警來吐真心話！【夢幻職業大調查】Dcard調查局｜Dcard.Video,雜談,250584
Dcard Video,6,2026-03-11,會抓頭髮的男生加分嗎｜見網友不喜歡｜什麼時刻感受到另一半的愛【EP258】Dcard尋奇｜Dcard.Video,雜談,344636
Dcard Video,7,2026-03-13,一天滑 12h 短影音會怎樣?【長影音vs 短影音】Dcard調查局｜Dcard.Video,雜談,245171
Dcard Video,8,2026-03-18,「唱片公司不要一位入圍金曲獎的歌手」ft.羅莎莎【EP5】Dcard Podcast｜Dcard.Video,雜談,24936
Dcard Video,9,2026-03-20,殘酷實測！天菜聯誼對象但個性超不合？你能撐的下去嗎？【不限時動態】地雷天菜女友｜Dcard.Video,雜談,249687
Dcard Video,10,2026-03-25,先生失業三年沒愛了｜加班很性感｜靠家裡是一種否定嗎？【EP259】Dcard尋奇｜Dcard.Video,雜談,254805
Dcard Video,11,2026-03-27,出生就是特權？生在台北、有自己的房間、從小補習...贏在起跑點錯了嗎？【特權指數大調查】Dcard調查局｜Dcard.Video,雜談,334415
Dcard Video,12,2026-04-01,「收入破億的Podcaster... 」ft.馬克瑪麗【EP6】Dcard Podcast｜Dcard.Video,雜談,50201
Dcard Video,13,2026-04-03,瘋狂亞洲父母！孩子才藝班超過10種，長大後會怎樣？【學才藝是好投資嗎】Dcard調查局｜Dcard.Video,雜談,168570
Dcard Video,14,2026-04-08,男生有好感多久會追那個女生｜店員可不可以不要再記得我了｜調適自己的小孩成績差【EP260】Dcard尋奇｜Dcard.Video,雜談,416807
Dcard Video,15,2026-04-10,老闆要你幫他剪指甲，你接受嗎？【荒謬求職經驗】Dcard調查局｜Dcard.Video,雜談,300605
Dcard Video,16,2026-04-15,在網路上罵人，真的會被告嗎？ ft.Dcard 法務 芷萱【EP7】Dcard Podcast｜Dcard.Video,雜談,54996
Dcard Video,17,2026-04-17,首次進新加坡祖厝，全家人都哭了【新，不了情】特別企劃｜Dcard.Video,旅遊,309147
Dcard Video,18,2026-04-20,我們 Team Building 都在做什麼？真心話變大型淚崩現場！【不限時動態】2026新年大會｜Dcard.Video,雜談,150573
Dcard Video,19,2026-04-22,熬出頭的感覺｜台男不買衣服｜女生間的毒雞湯 ‪@we_are_831‬ 【EP261】Dcard尋奇｜Dcard.Video,雜談,275647
Dcard Video,20,2026-04-24,禁斷秘密！！把賓士車撞壞、考試偷作弊、偷打XX屁股！？要帶進棺材的一集【不敢跟爸媽說的話】Dcard調查局｜Dcard.Video,雜談,213619
Dcard Video,21,2026-04-29,台灣男生尺寸的疑雲？ft.王祚軒醫師【EP8】Dcard Podcast｜Dcard.Video,雜談,69126
Dcard Video,22,2026-05-01,沒人想做服務業？被客人丟錢、只能道歉、低薪還被扣薪水....月薪3萬的全能人力！【台灣服務業有多累？】Dcard調查局｜Dcard.Video,雜談,373959
Dcard Video,23,2026-05-06,同性去上廁所｜怎麼跟朋友拿回小錢｜情侶奇怪的吵架原因【EP262】Dcard尋奇｜Dcard.Video,雜談,259415
Dcard Video,24,2026-05-08,刻在台灣人骨子裡的習俗：考前不吃牛、收驚喝符水、懷孕不拿尖物、過年不準洗澡？！【傳統習俗大調查】Dcard調查局｜Dcard.Video,雜談,290106
Dcard Video,25,2026-05-13,你沒聽過的空服員潛規則？ft.退役空服員Kristen【EP9】Dcard Podcast｜Dcard.Video,雜談,201658
Dcard Video,26,2026-05-15,超無聊帥潮 VS 超幽默哥布林，男友二選一！女生們的答案是... ？【帥潮是誇獎嗎】Dcard調查局｜Dcard.Video,雜談,314299
Dcard Video,27,2026-05-20,貼標籤給別人｜會挑朋友嗎｜如何跟小孩熟起來【EP263】Dcard尋奇｜Dcard.Video feat.曾敬驊、范少勳,雜談,182857
