state,action,strategy,deadline_dmax,sample_n,p_low,p_normal,p_hit,p_viral,p_next_high,expected_state_score,resource_cost
Low,Lifestyle/Other / ≤7 days,Lifestyle/Other,7,5,0.5333333333333333,0.4444444444444444,0.014814814814814815,0.007407407407407408,0.022222222222222223,0.49629629629629624,1.4
Low,Lifestyle/Other / ≤14 days,Lifestyle/Other,14,5,0.5333333333333333,0.4444444444444444,0.014814814814814815,0.007407407407407408,0.022222222222222223,0.49629629629629624,1.1
Low,Lifestyle/Other / ≤30 days,Lifestyle/Other,30,5,0.5333333333333333,0.4444444444444444,0.014814814814814815,0.007407407407407408,0.022222222222222223,0.49629629629629624,0.9
Low,Review/Tech / ≤7 days,Review/Tech,7,2,0.6333333333333333,0.3333333333333333,0.022222222222222223,0.011111111111111112,0.03333333333333333,0.4111111111111111,1.7999999999999998
Low,Review/Tech / ≤14 days,Review/Tech,14,4,0.475,0.5,0.016666666666666666,0.008333333333333333,0.025,0.5583333333333333,1.5
Low,Review/Tech / ≤30 days,Review/Tech,30,4,0.475,0.5,0.016666666666666666,0.008333333333333333,0.025,0.5583333333333333,1.3
Low,Talk/Topic / ≤7 days,Talk/Topic,7,25,0.44137931034482764,0.5517241379310345,0.004597701149425287,0.0022988505747126436,0.006896551724137931,0.5678160919540229,1.6
Low,Talk/Topic / ≤14 days,Talk/Topic,14,26,0.4266666666666667,0.5333333333333333,0.03777777777777778,0.0022222222222222222,0.04,0.6155555555555556,1.3
Low,Talk/Topic / ≤30 days,Talk/Topic,30,26,0.4266666666666667,0.5333333333333333,0.03777777777777778,0.0022222222222222222,0.04,0.6155555555555556,1.1
Low,Travel/Experience / ≤7 days,Travel/Experience,7,16,0.49000000000000005,0.45,0.006666666666666666,0.05333333333333333,0.06,0.6233333333333333,2.0
Low,Travel/Experience / ≤14 days,Travel/Experience,14,24,0.4571428571428572,0.4642857142857143,0.04047619047619048,0.03809523809523809,0.07857142857142857,0.6595238095238096,1.7
Low,Travel/Experience / ≤30 days,Travel/Experience,30,25,0.44137931034482764,0.4827586206896552,0.03908045977011494,0.0367816091954023,0.07586206896551724,0.671264367816092,1.5
Normal,Lifestyle/Other / ≤7 days,Lifestyle/Other,7,14,0.18102372034956304,0.6173533083645444,0.19912609238451937,0.0024968789013732834,0.20162297128589265,1.023096129837703,1.4
Normal,Lifestyle/Other / ≤14 days,Lifestyle/Other,14,14,0.18102372034956304,0.6173533083645444,0.19912609238451937,0.0024968789013732834,0.20162297128589265,1.023096129837703,1.1
Normal,Lifestyle/Other / ≤30 days,Lifestyle/Other,30,14,0.18102372034956304,0.6173533083645444,0.19912609238451937,0.0024968789013732834,0.20162297128589265,1.023096129837703,0.9
Normal,Review/Tech / ≤7 days,Review/Tech,7,8,0.5215355805243446,0.34269662921348315,0.13202247191011238,0.003745318352059925,0.1357677902621723,0.6179775280898877,1.7999999999999998
Normal,Review/Tech / ≤14 days,Review/Tech,14,8,0.5215355805243446,0.34269662921348315,0.13202247191011238,0.003745318352059925,0.1357677902621723,0.6179775280898877,1.5
Normal,Review/Tech / ≤30 days,Review/Tech,30,8,0.5215355805243446,0.34269662921348315,0.13202247191011238,0.003745318352059925,0.1357677902621723,0.6179775280898877,1.3
